,Puesto,Empresa,Tipo contrato,Nivel de experiencia,Nivel de estudio,Genero Requerido,Edad Requerida,Salario,Cantidad Vacante,Link del Puesto,Lugar provincia,Lugar departamento
0,Especialista de recursos humanos,Productos y servicios para la industria s.a.c.,Tiempo completo,3 a 4 años,Universitaria,Indiferente,26 a 40 años,2500.0,1,https://pe.trabajosdiarios.com/trabajo/2374680/especialista-de-recursos-humanos-en-callao,Callao,Callao
1,Administrador de restaurante con experiencia,Cevicheria la conchita69,Por contrato,2 años,Técnico,Indiferente,26 a 36 años,2300.0,1,https://pe.trabajosdiarios.com/trabajo/2374126/administrador-de-restaurante-con-experiencia-en-lima,Lima,Lima
2,Secretaria con experiencia y conocimientos contables y turismo,"Posada ""casa real""",Medio tiempo,1 año,Técnico,Femenino,25 a 40 años,1.0,1,https://pe.trabajosdiarios.com/trabajo/2373193/secretaria-con-experiencia-y-conocimientos-contables-y-turismo-en-junin,Huancayo,Junín
3,Administrador para tienda comercial,Virgen de la merced mining s.a.c.,Por contrato,3 a 4 años,Universitaria,Indiferente,27 a 40 años,2500.0,1,https://pe.trabajosdiarios.com/trabajo/2372238/administrador-para-tienda-comercial-en-lima,Miraflores,Lima
4,Administradora de sede/rubro educativo - comas,Montalvo institute,Tiempo completo,2 años,Técnico,Indiferente,No especifica,,1,https://pe.trabajosdiarios.com/trabajo/2371845/administradora-de-sederubro-educativo-comas-en-lima,Comas,Lima
5,Analista de almacén,Laboratorios smasac,Tiempo completo,3 a 4 años,Universitaria,Indiferente,No especifica,,1,https://pe.trabajosdiarios.com/trabajo/2370300/analista-de-almacen-en-lima,Ate,Lima
6,Analista de planeamiento y control de gestión corporativo,Petroamerica,Por contrato,1 año,Técnico,Indiferente,No especifica,,1,https://pe.trabajosdiarios.com/trabajo/2369351/analista-de-planeamiento-y-control-de-gestion-corporativo-en-lima,Miraflores,Lima
7,Administradora de condominio - centro de lima,Consorcio dc extreme security,Tiempo completo,1 año,Universitaria,Femenino,No especifica,,2,https://pe.trabajosdiarios.com/trabajo/2369033/administradora-de-condominio-centro-de-lima-en-lima,Lima,Lima
8,Administrador de base de datos oracle,Tecnoeletrica industrial andina,Tiempo completo,3 a 4 años,Universitaria,Indiferente,No especifica,,1,https://pe.trabajosdiarios.com/trabajo/2367429/administrador-de-base-de-datos-oracle-en-lima,Lima,Lima
9,Administrador de restaurante c/experiencia - surco,Bon beef,Tiempo completo,2 años,Técnico,Indiferente,30 a 45 años,2000.0,1,https://pe.trabajosdiarios.com/trabajo/2363674/administrador-de-restaurante-cexperiencia-surco-en-lima,Santiago de surco,Lima
